Source,Target,Type,id,label,timeset,weight
54,38,Undirected,0,,,1.0
54,22,Undirected,0,,,1.0
54,83,Undirected,0,,,1.0
54,64,Undirected,0,,,1.0
55,72,Undirected,0,,,1.0
55,49,Undirected,0,,,1.0
55,42,Undirected,0,,,1.0
55,56,Undirected,0,,,1.0
55,51,Undirected,0,,,1.0
55,20,Undirected,0,,,1.0
55,96,Undirected,0,,,1.0
55,98,Undirected,0,,,1.0
55,68,Undirected,0,,,1.0
55,79,Undirected,0,,,1.0
56,87,Undirected,0,,,1.0
56,80,Undirected,0,,,1.0
56,49,Undirected,0,,,1.0
56,51,Undirected,0,,,1.0
56,98,Undirected,0,,,1.0
56,67,Undirected,0,,,1.0
56,55,Undirected,0,,,1.0
56,68,Undirected,0,,,1.0
56,69,Undirected,0,,,1.0
56,43,Undirected,0,,,1.0
57,62,Undirected,0,,,1.0
57,34,Undirected,0,,,1.0
57,64,Undirected,0,,,1.0
57,61,Undirected,0,,,1.0
57,104,Undirected,0,,,1.0
57,78,Undirected,0,,,1.0
57,46,Undirected,0,,,1.0
57,18,Undirected,0,,,1.0
57,83,Undirected,0,,,1.0
57,85,Undirected,0,,,1.0
58,77,Undirected,0,,,1.0
58,78,Undirected,0,,,1.0
58,102,Undirected,0,,,1.0
58,40,Undirected,0,,,1.0
58,64,Undirected,0,,,1.0
58,83,Undirected,0,,,1.0
58,65,Undirected,0,,,1.0
58,107,Undirected,0,,,1.0
58,53,Undirected,0,,,1.0
58,90,Undirected,0,,,1.0
59,110,Undirected,0,,,1.0
59,63,Undirected,0,,,1.0
59,107,Undirected,0,,,1.0
59,35,Undirected,0,,,1.0
59,73,Undirected,0,,,1.0
59,29,Undirected,0,,,1.0
59,105,Undirected,0,,,1.0
59,10,Undirected,0,,,1.0
59,7,Undirected,0,,,1.0
59,50,Undirected,0,,,1.0
60,95,Undirected,0,,,1.0
60,66,Undirected,0,,,1.0
60,61,Undirected,0,,,1.0
60,104,Undirected,0,,,1.0
60,85,Undirected,0,,,1.0
60,62,Undirected,0,,,1.0
60,19,Undirected,0,,,1.0
60,34,Undirected,0,,,1.0
60,26,Undirected,0,,,1.0
60,78,Undirected,0,,,1.0
61,34,Undirected,0,,,1.0
61,64,Undirected,0,,,1.0
61,104,Undirected,0,,,1.0
61,48,Undirected,0,,,1.0
61,66,Undirected,0,,,1.0
61,41,Undirected,0,,,1.0
61,60,Undirected,0,,,1.0
61,26,Undirected,0,,,1.0
61,95,Undirected,0,,,1.0
61,90,Undirected,0,,,1.0
62,57,Undirected,0,,,1.0
62,34,Undirected,0,,,1.0
62,60,Undirected,0,,,1.0
62,95,Undirected,0,,,1.0
62,48,Undirected,0,,,1.0
62,89,Undirected,0,,,1.0
62,41,Undirected,0,,,1.0
